Name,Municipality,County,Address,Student body count,Latitude,Longitude
Hunstad barneskole,Bodø,Nordland,"Galnåsen 100, 8022 BODØ",34,67.2845244,14.5384608
Støver skole,Bodø,Nordland,"Kløftveien 8, 8030 BODØ",23,67.2871816,14.5971086
Saltvern skole,Bodø,Nordland,"Reinslettveien 92, 8009 BODØ",63,67.2893867,14.4287037
Mørkvedmarka skole,Bodø,Nordland,"Bjørndalsveien 14, 8029 BODØ",210,67.2925083,14.5872332
Rønvik skole,Bodø,Nordland,"Amtmann Worsøes Gate 30, 8012 BODØ",425,67.2964964,14.417683
Valnesfjord Oppvekstsenter - Avdeling skole,Fauske,Nordland,"Løkås, 8215 VALNESFJORD",93,67.2965173,15.1641717
Løpsmark skole,Bodø,Nordland,"Nonshaugen 87, 8015 BODØ",425,67.311856,14.4479315
Nordlys - Kristen grunnskole Fauske AS,Fauske,Nordland,"Kvitblikk, 8200 FAUSKE",3,67.3461104,15.4944467
Straumen skole,Sørfold,Nordland,"8226, STRAUMEN  ",12,67.3493577,15.6000181
Landego skole,Bodø,Nordland,"Fenes, 8098 LANDEGODE",77,67.3852181,14.251235
Skaug Oppvekstsenter - Avd skole,Bodø,Nordland,"Skaug, 8016 BODØ",1,67.385784,14.6363111
Helligvær skole,Bodø,Nordland,"8095, HELLIGVÆR  ",425,67.4166667,14.0
Røsvik skole,Sørfold,Nordland,"8226, STRAUMEN  ",,67.4742598,15.45985
Kjerringøy skole,Bodø,Nordland,"Kjerringøy, 8093 KJERRINGØY",23,67.5193755,14.7570307
Røst barne- og ungdomsskole,Røst,Nordland,"8064, RØST  ",4,67.5251698,12.0990951
Leirfjorden skole,Sørfold,Nordland,"Bonå, 8264 ENGAN",1,67.5854965,15.8184862
Værøy skole,Værøy,Nordland,"8063, VÆRØY  ",96,67.6796035,12.6119011
Mørsvik skole,Sørfold,Nordland,"Sildhopen, 8266 MØRSVIKBOTN",19,67.689665,15.8439914
Leines skole,Steigen,Nordland,"8285, LEINES  ",15,67.7376157,14.8068011
Nordfold skole,Steigen,Nordland,"8286, NORDFOLD  ",18,67.7630472,15.2325021
Steigen Sentralskole,Steigen,Nordland,"8283, LEINESFJORD  ",35,67.7983333,15.1719444
Sørvågen skole,Moskenes,Nordland,"8392, SØRVÅGEN  ",6,67.890669,13.0291237
Laskestad skole,Steigen,Nordland,"Laskestad, 8289 VÅG",,67.9263294,15.022191
Innhavet skole,Hamarøy,Nordland,"Innhavet, 8260 INNHAVET",28,67.9662391,15.9328934
Skutvik skole,Hamarøy,Nordland,"Grønnåsen, 8290 SKUTVIK",27,68.0169976,15.333581
Drag skole,Tysfjord,Nordland,"Drag, 8270 DRAG",15,68.0478659,16.0798886
Ballstad skole,Vestvågøy,Nordland,"Skottnesveien 257, 8373 BALLSTAD",25,68.0842046,13.5408506
Ramberg skole,Flakstad,Nordland,"8380, RAMBERG  ",65,68.0910504,13.2324067
Storjord skole,Tysfjord,Nordland,"Storjord, 8275 STORJORD I TYSFJORD",2,68.0939946,16.3534061
Kjøpsvik skole,Tysfjord,Nordland,"Hovedveien 31, 8590 KJØPSVIK",4,68.0988105,16.386436
Buksnes skole,Vestvågøy,Nordland,"Skoleveien 3, 8372 GRAVDAL",31,68.1191043,13.5550968
Napp skole,Flakstad,Nordland,"8382, NAPP  ",7,68.1338905,13.4363823
Svarholt skole,Vestvågøy,Nordland,"J.M.Johansens Vei 246, 8340 STAMSUND",22,68.1372872,13.8378854
