Akershus;Aurskog Høland;Bjørkelangen skole;Skjønhaugveien 2;1940;BJØRKELANGEN;481
Akershus;Aurskog Høland;Bråte skole;Bygdetunveien 2;1970;HEMNES;403
Akershus;Aurskog Høland;Haneborg skole;Lierfoss;1930;AURSKOG;117
Akershus;Aurskog Høland;Hofmoen skole;Sagveien 10 Moe;1960;LØKEN;47
Akershus;Aurskog Høland;Løken skole;Nedre Tallakvei 2;1960;LØKEN;241
Akershus;Aurskog Høland;Setskog Oppvekstsenter;Mosebyveien 4;1954;SETSKOG;59
Akershus;Bærum;Bærum kommune;Rådhustorget 2-4;1304;SANDVIKA;0
Akershus;Bærum;Bekkestua skole;Falkeveien 14;1357;BEKKESTUA;372
Akershus;Bærum;Belset skole;Belsetveien 26;1348;RYKKINN;135
Akershus;Bærum;Bjørnegård skole;Nedre Åsvei 1;1341;SLEPENDEN;318
Akershus;Bærum;Blommenholm skole;Halvorsens vei 2;1365;BLOMMENHOLM;341
Akershus;Bærum;Bryn skole;Bryn skolevei 7;1348;RYKKINN;409
Akershus;Bærum;Bærums Verk skole;SKOLLERUDVEIEN 25;1353;BÆRUMS VERK;301
Akershus;Bærum;Eikeli skole;Nadderudveien 110;1362;HOSLE;433
Akershus;Bærum;Eiksmarka skole;Niels Leuchs vei 56;1359;EIKSMARKA;579
Akershus;Bærum;Emma Hjorth skole;Tokes vei 50;1336;SANDVIKA;293
Akershus;Bærum;Evje skole;Evjebakken 20;1346;GJETTUM;372
Akershus;Bærum;Gjettum skole;Vallerveien 133;1346;GJETTUM;347
Akershus;Bærum;Glassverket skole;Vangkroken 20;1339;VØYENENGA;10
Akershus;Bærum;Grav skole;Hosleveien 24;1358;JAR;598
Akershus;Bærum;Gullhaug skole;Grindaberget 7;1354;BÆRUMS VERK;341
Akershus;Bærum;Hammerbakken skole;Åsbråtan 25;1352;KOLSÅS;100
Akershus;Bærum;Haslum skole;Gamle Ringeriksvei 81;1356;BEKKESTUA;501
Akershus;Bærum;Haug skole og ressurssenter;Haugtunveien 3;1356;BEKKESTUA;121
Akershus;Bærum;Hauger skole;Hauger skolevei 55;1351;RUD;386
Akershus;Bærum;Hosle skole;Bispeveien 73;1362;HOSLE;550
Akershus;Bærum;Hosletoppen skole;Bjarne Skaus vei 40;1362;HOSLE;189
Akershus;Bærum;Hundsund ungdomsskole;Snarøyveien 81;1367;SNARØYA;212
Akershus;Bærum;Høvik Verk skole;Fjordveien 76;1363;HØVIK;353
Akershus;Bærum;Høvik skole;Gamle Drammensvei 119;1363;HØVIK;448
Akershus;Bærum;Jar skole;Storengveien 2 - 4;1358;JAR;504
Akershus;Bærum;Jong skole;Jongssvingen 5;1337;SANDVIKA;301
Akershus;Bærum;Lesterud skole;Grorudenga 1-11;1350;LOMMEDALEN;311
Akershus;Bærum;Levre skole;Levre skolevei 6;1346;GJETTUM;484
Akershus;Bærum;Lommedalen skole;Gamleveien 132;1350;LOMMEDALEN;375
Akershus;Bærum;Lysaker skole;Forneburingen 300;1364;FORNEBU;295
Akershus;Bærum;Løkeberg skole;BÆRUMSVEIEN 340;1344;HASLUM;544
Akershus;Bærum;Mølladammen ungdomsskole;Lommedalsveien 239;1350;LOMMEDALEN;448
Akershus;Bærum;Ramstad skole;Høvikveien 30;1363;HØVIK;465
Akershus;Bærum;Ringstabekk skole;Peiks vei 1;1356;BEKKESTUA;408
Akershus;Bærum;Rykkinn skole;Valkyrieveien 25;1349;RYKKINN;362
Akershus;Bærum;Rykkinn skole;Stian Kristensens vei 114;1348;RYKKINN;433
Akershus;Bærum;Sandviksbukta skole;Sandviksveien 130;1365;BLOMMENHOLM;5
Akershus;Bærum;Skarva skole;Skollerudveien 96;1350;LOMMEDALEN;9
Akershus;Bærum;Skui skole;Ringeriksveien 242;1340;SKUI;381
Akershus;Bærum;Snarøya skole;Snarøyveien 90;1367;SNARØYA;355
Akershus;Bærum;Stabekk skole;Gamle Ringeriksvei 23;1356;BEKKESTUA;385
Akershus;Bærum;Tanum skole;Tanumveien 69;1341;SLEPENDEN;299
Akershus;Bærum;Vøyenenga skole;Borkenveien 3;1339;VØYENENGA;292
Akershus;Bærum;Østerås skole;Eiksveien 104;1361;ØSTERÅS;403
Akershus;Eidsvoll;Tjenesteutvikling og forvaltning;Rådhusgt. 1;2080;EIDSVOLL;0
Akershus;Eidsvoll;Dal skole;Hjeravegen 5;2072;DAL;370
Akershus;Eidsvoll;Eidsvoll Verk skole;Furulundsgutua 8;2074;EIDSVOLL VERK;284
Akershus;Eidsvoll;Feiring skole;Feiringvegen 1256;2093;FEIRING;97
Akershus;Eidsvoll;Finstad skole;Løkenvegen 6;2080;EIDSVOLL;81
Akershus;Eidsvoll;Langset skole;Dorrvegen 16;2092;MINNESUND;160
Akershus;Eidsvoll;Råholt skole;Martin Johansens veg 85;2070;RÅHOLT;363
Akershus;Eidsvoll;Råholt ungdomsskole;Tærudvegen 1;2070;RÅHOLT;403
Akershus;Eidsvoll;Vilberg skole;Tynsåkvegen 2;2080;EIDSVOLL;326
